policy_id,policy_number,claimant_id,start_date,end_date,premium,coverage_type
POL_CLM_LEG_20_1,PN4374631074,CLM_LEG_20,2023-11-18T18:12:54.313640,2024-11-17T18:12:54.313640,1739.29,Liability Only
POL_CLM_LEG_21_0,PN4679635208,CLM_LEG_21,2024-08-25T18:12:54.313640,2025-08-25T18:12:54.313640,1419.91,Full Coverage
POL_CLM_LEG_22_0,PN2066770841,CLM_LEG_22,2024-12-03T18:12:54.313640,2025-12-03T18:12:54.313640,1959.51,Comprehensive
POL_CLM_LEG_23_0,PN3960550507,CLM_LEG_23,2023-04-30T18:12:54.313640,2024-04-29T18:12:54.313640,1751.8,Liability Only
POL_CLM_LEG_24_0,PN5933155144,CLM_LEG_24,2023-05-31T18:12:54.313640,2024-05-30T18:12:54.313640,1062.74,Full Coverage
POL_CLM_LEG_24_1,PN6752959245,CLM_LEG_24,2023-02-02T18:12:54.313640,2024-02-02T18:12:54.313640,1076.25,Full Coverage
POL_CLM_LEG_25_0,PN5287819589,CLM_LEG_25,2025-06-11T18:12:54.313640,2026-06-11T18:12:54.313640,1104.91,Liability Only
POL_CLM_LEG_26_0,PN1941714339,CLM_LEG_26,2024-05-11T18:12:54.313640,2025-05-11T18:12:54.313640,2163.8,Comprehensive
POL_CLM_LEG_27_0,PN4199654613,CLM_LEG_27,2024-10-06T18:12:54.313640,2025-10-06T18:12:54.313640,1070.64,Comprehensive
POL_CLM_LEG_28_0,PN1693949971,CLM_LEG_28,2023-01-25T18:12:54.313640,2024-01-25T18:12:54.313640,865.83,Liability Only
POL_CLM_LEG_29_0,PN5126780305,CLM_LEG_29,2023-03-23T18:12:54.313640,2024-03-22T18:12:54.313640,2361.37,Liability Only
POL_CLM_LEG_30_0,PN5073233675,CLM_LEG_30,2023-04-14T18:12:54.313640,2024-04-13T18:12:54.313640,2281.25,Full Coverage
POL_CLM_LEG_31_0,PN1312338644,CLM_LEG_31,2024-12-21T18:12:54.313640,2025-12-21T18:12:54.313640,1477.39,Liability Only
POL_CLM_LEG_32_0,PN2897499859,CLM_LEG_32,2023-05-07T18:12:54.313640,2024-05-06T18:12:54.313640,1274.51,Comprehensive
POL_CLM_LEG_33_0,PN4540359611,CLM_LEG_33,2023-08-11T18:12:54.313640,2024-08-10T18:12:54.313640,2467.95,Comprehensive
POL_CLM_LEG_34_0,PN6725506600,CLM_LEG_34,2025-06-08T18:12:54.313640,2026-06-08T18:12:54.313640,996.08,Liability Only
POL_CLM_LEG_35_0,PN4213001217,CLM_LEG_35,2024-10-08T18:12:54.313640,2025-10-08T18:12:54.313640,865.04,Comprehensive
POL_CLM_LEG_36_0,PN8142421058,CLM_LEG_36,2023-06-21T18:12:54.313640,2024-06-20T18:12:54.313640,2136.93,Liability Only
POL_CLM_LEG_37_0,PN8208419172,CLM_LEG_37,2024-01-30T18:12:54.313640,2025-01-29T18:12:54.313640,996.6,Comprehensive
POL_CLM_LEG_38_0,PN2014221360,CLM_LEG_38,2025-05-22T18:12:54.313640,2026-05-22T18:12:54.313640,2004.93,Full Coverage
POL_CLM_LEG_39_0,PN5858490332,CLM_LEG_39,2023-04-03T18:12:54.313640,2024-04-02T18:12:54.313640,1715.37,Comprehensive
POL_CLM_LEG_40_0,PN839534051,CLM_LEG_40,2023-06-13T18:12:54.313640,2024-06-12T18:12:54.313640,1940.07,Liability Only
POL_CLM_LEG_40_1,PN6394745338,CLM_LEG_40,2024-04-21T18:12:54.313640,2025-04-21T18:12:54.313640,918.96,Comprehensive
POL_CLM_LEG_41_0,PN30550173,CLM_LEG_41,2023-10-07T18:12:54.313640,2024-10-06T18:12:54.313640,1333.66,Full Coverage
POL_CLM_LEG_41_1,PN9086568189,CLM_LEG_41,2023-06-30T18:12:54.313640,2024-06-29T18:12:54.313640,2330.08,Comprehensive
POL_CLM_LEG_42_0,PN5736542221,CLM_LEG_42,2024-05-14T18:12:54.313640,2025-05-14T18:12:54.313640,1354.51,Comprehensive
POL_CLM_LEG_43_0,PN8439882247,CLM_LEG_43,2025-02-26T18:12:54.313640,2026-02-26T18:12:54.313640,1126.13,Comprehensive
POL_CLM_LEG_44_0,PN7198053217,CLM_LEG_44,2023-08-13T18:12:54.313640,2024-08-12T18:12:54.313640,2071.83,Full Coverage
POL_CLM_LEG_44_1,PN9472988167,CLM_LEG_44,2023-10-15T18:12:54.313640,2024-10-14T18:12:54.313640,1767.48,Liability Only
POL_CLM_LEG_45_0,PN3471941923,CLM_LEG_45,2025-07-06T18:12:54.313640,2026-07-06T18:12:54.313640,1316.59,Full Coverage
POL_CLM_LEG_46_0,PN7945894167,CLM_LEG_46,2023-11-21T18:12:54.313640,2024-11-20T18:12:54.313640,1831.32,Liability Only
POL_CLM_LEG_47_0,PN5756680893,CLM_LEG_47,2024-04-10T18:12:54.313640,2025-04-10T18:12:54.313640,1948.57,Comprehensive
POL_CLM_LEG_48_0,PN269880804,CLM_LEG_48,2023-04-13T18:12:54.313640,2024-04-12T18:12:54.313640,2051.13,Comprehensive
POL_CLM_LEG_49_0,PN6544437048,CLM_LEG_49,2024-01-26T18:12:54.313640,2025-01-25T18:12:54.313640,1928.55,Comprehensive
POL_CLM_LEG_50_0,PN2037028888,CLM_LEG_50,2023-03-21T18:12:54.313640,2024-03-20T18:12:54.313640,2418.4,Full Coverage
POL_CLM_LEG_51_0,PN8339812601,CLM_LEG_51,2024-11-18T18:12:54.313640,2025-11-18T18:12:54.313640,2171.16,Full Coverage
POL_CLM_LEG_52_0,PN6446550367,CLM_LEG_52,2024-10-29T18:12:54.313640,2025-10-29T18:12:54.313640,2472.69,Comprehensive
POL_CLM_LEG_53_0,PN6833986995,CLM_LEG_53,2025-04-23T18:12:54.313640,2026-04-23T18:12:54.313640,1574.21,Comprehensive
POL_CLM_LEG_54_0,PN3561718844,CLM_LEG_54,2023-07-02T18:12:54.313640,2024-07-01T18:12:54.313640,1983.8,Liability Only
POL_CLM_LEG_55_0,PN3933355644,CLM_LEG_55,2025-02-05T18:12:54.313640,2026-02-05T18:12:54.313640,1915.3,Full Coverage
POL_CLM_LEG_56_0,PN6059004982,CLM_LEG_56,2023-02-06T18:12:54.313640,2024-02-06T18:12:54.313640,2109.08,Full Coverage
POL_CLM_LEG_57_0,PN2131095023,CLM_LEG_57,2024-11-24T18:12:54.313640,2025-11-24T18:12:54.313640,1099.01,Comprehensive
POL_CLM_LEG_58_0,PN5017450483,CLM_LEG_58,2025-05-16T18:12:54.313640,2026-05-16T18:12:54.313640,1747.59,Full Coverage
POL_CLM_LEG_59_0,PN862277238,CLM_LEG_59,2023-04-08T18:12:54.313640,2024-04-07T18:12:54.313640,1589.89,Comprehensive
POL_CLM_LEG_60_0,PN6399510866,CLM_LEG_60,2023-11-05T18:12:54.313640,2024-11-04T18:12:54.313640,1339.41,Liability Only
POL_CLM_LEG_60_1,PN7901267164,CLM_LEG_60,2023-10-18T18:12:54.313640,2024-10-17T18:12:54.313640,2185.51,Comprehensive
POL_CLM_LEG_61_0,PN7120424045,CLM_LEG_61,2023-12-23T18:12:54.313640,2024-12-22T18:12:54.313640,1558.05,Full Coverage
POL_CLM_LEG_62_0,PN9723109188,CLM_LEG_62,2024-03-07T18:12:54.313640,2025-03-07T18:12:54.313640,1565.12,Full Coverage
POL_CLM_LEG_63_0,PN7479327214,CLM_LEG_63,2024-09-26T18:12:54.313640,2025-09-26T18:12:54.313640,2101.88,Comprehensive
POL_CLM_LEG_64_0,PN4631292306,CLM_LEG_64,2024-11-04T18:12:54.313640,2025-11-04T18:12:54.313640,1266.82,Full Coverage
POL_CLM_LEG_65_0,PN3170874367,CLM_LEG_65,2024-11-08T18:12:54.313640,2025-11-08T18:12:54.313640,1261.92,Liability Only
POL_CLM_LEG_66_0,PN9963105548,CLM_LEG_66,2025-04-15T18:12:54.313640,2026-04-15T18:12:54.313640,1035.24,Full Coverage
POL_CLM_LEG_67_0,PN8744892294,CLM_LEG_67,2025-01-31T18:12:54.313640,2026-01-31T18:12:54.313640,2000.91,Full Coverage
POL_CLM_LEG_68_0,PN2742448811,CLM_LEG_68,2024-08-02T18:12:54.313640,2025-08-02T18:12:54.313640,1722.44,Liability Only
POL_CLM_LEG_69_0,PN1087433127,CLM_LEG_69,2023-03-07T18:12:54.313640,2024-03-06T18:12:54.313640,1514.24,Comprehensive
POL_CLM_LEG_70_0,PN7622075739,CLM_LEG_70,2025-06-16T18:12:54.313640,2026-06-16T18:12:54.313640,2256.44,Comprehensive
POL_CLM_LEG_70_1,PN5331504113,CLM_LEG_70,2024-06-12T18:12:54.313640,2025-06-12T18:12:54.313640,1610.87,Liability Only
POL_CLM_LEG_71_0,PN2126674479,CLM_LEG_71,2024-06-02T18:12:54.313640,2025-06-02T18:12:54.313640,2250.86,Liability Only
POL_CLM_LEG_72_0,PN8613815195,CLM_LEG_72,2023-06-15T18:12:54.313640,2024-06-14T18:12:54.313640,1728.42,Comprehensive
POL_CLM_LEG_73_0,PN7408711404,CLM_LEG_73,2024-02-23T18:12:54.313640,2025-02-22T18:12:54.313640,1173.02,Liability Only
POL_CLM_LEG_74_0,PN6919799704,CLM_LEG_74,2024-06-03T18:12:54.313640,2025-06-03T18:12:54.313640,1371.42,Comprehensive
POL_CLM_LEG_75_0,PN9564852087,CLM_LEG_75,2023-06-26T18:12:54.313640,2024-06-25T18:12:54.313640,1080.58,Liability Only
POL_CLM_LEG_76_0,PN6973925109,CLM_LEG_76,2023-10-08T18:12:54.313640,2024-10-07T18:12:54.313640,1708.01,Liability Only
POL_CLM_LEG_76_1,PN115902092,CLM_LEG_76,2023-11-08T18:12:54.313640,2024-11-07T18:12:54.313640,1759.47,Full Coverage
POL_CLM_LEG_77_0,PN7794255797,CLM_LEG_77,2024-04-24T18:12:54.313640,2025-04-24T18:12:54.313640,1030.69,Liability Only
POL_CLM_LEG_78_0,PN9791055332,CLM_LEG_78,2024-10-13T18:12:54.313640,2025-10-13T18:12:54.313640,1444.48,Full Coverage
POL_CLM_LEG_79_0,PN8451797194,CLM_LEG_79,2024-07-26T18:12:54.313640,2025-07-26T18:12:54.313640,2094.09,Liability Only
POL_CLM_LEG_80_0,PN2254759331,CLM_LEG_80,2023-03-08T18:12:54.313640,2024-03-07T18:12:54.313640,1516.66,Full Coverage
POL_CLM_LEG_81_0,PN1608884005,CLM_LEG_81,2023-05-31T18:12:54.313640,2024-05-30T18:12:54.313640,1717.01,Liability Only
POL_CLM_LEG_82_0,PN2285333824,CLM_LEG_82,2025-04-27T18:12:54.313640,2026-04-27T18:12:54.313640,2128.1,Comprehensive
POL_CLM_LEG_83_0,PN9443437617,CLM_LEG_83,2025-06-05T18:12:54.313640,2026-06-05T18:12:54.313640,2414.34,Full Coverage
POL_CLM_LEG_84_0,PN6587096671,CLM_LEG_84,2023-10-09T18:12:54.313640,2024-10-08T18:12:54.313640,1059.05,Full Coverage
POL_CLM_LEG_85_0,PN8267437771,CLM_LEG_85,2025-03-11T18:12:54.313640,2026-03-11T18:12:54.313640,1758.75,Full Coverage
POL_CLM_LEG_86_0,PN2492566629,CLM_LEG_86,2024-10-17T18:12:54.313640,2025-10-17T18:12:54.313640,2103.73,Full Coverage
POL_CLM_LEG_87_0,PN9391073490,CLM_LEG_87,2023-06-02T18:12:54.313640,2024-06-01T18:12:54.313640,2021.21,Full Coverage
POL_CLM_LEG_88_0,PN2607743395,CLM_LEG_88,2025-03-18T18:12:54.313640,2026-03-18T18:12:54.313640,1783.76,Liability Only
POL_CLM_LEG_88_1,PN5358721830,CLM_LEG_88,2023-11-25T18:12:54.313640,2024-11-24T18:12:54.313640,1951.49,Liability Only
POL_CLM_LEG_89_0,PN6875536624,CLM_LEG_89,2023-07-05T18:12:54.313640,2024-07-04T18:12:54.313640,1137.16,Comprehensive
POL_CLM_LEG_90_0,PN8774185999,CLM_LEG_90,2023-10-03T18:12:54.313640,2024-10-02T18:12:54.313640,1212.84,Comprehensive
POL_CLM_LEG_91_0,PN8241197574,CLM_LEG_91,2023-02-17T18:12:54.313640,2024-02-17T18:12:54.313640,1963.24,Full Coverage
POL_CLM_LEG_92_0,PN4420275358,CLM_LEG_92,2023-12-05T18:12:54.313640,2024-12-04T18:12:54.313640,2130.48,Liability Only
POL_CLM_LEG_93_0,PN5245920155,CLM_LEG_93,2023-08-29T18:12:54.313640,2024-08-28T18:12:54.313640,1429.97,Comprehensive
POL_CLM_LEG_94_0,PN897785201,CLM_LEG_94,2025-06-24T18:12:54.313640,2026-06-24T18:12:54.313640,2244.28,Liability Only
POL_CLM_LEG_95_0,PN8055097640,CLM_LEG_95,2024-07-01T18:12:54.313640,2025-07-01T18:12:54.313640,1880.49,Liability Only
POL_CLM_LEG_96_0,PN4670180474,CLM_LEG_96,2024-04-17T18:12:54.313640,2025-04-17T18:12:54.313640,1099.43,Comprehensive
POL_CLM_LEG_97_0,PN8595552216,CLM_LEG_97,2024-10-03T18:12:54.313640,2025-10-03T18:12:54.313640,1847.05,Comprehensive
POL_CLM_LEG_97_1,PN8074157153,CLM_LEG_97,2023-05-05T18:12:54.313640,2024-05-04T18:12:54.313640,1621.95,Liability Only
POL_CLM_LEG_98_0,PN938121407,CLM_LEG_98,2023-11-08T18:12:54.313640,2024-11-07T18:12:54.313640,1256.27,Full Coverage
POL_CLM_LEG_99_0,PN7329464197,CLM_LEG_99,2025-04-09T18:12:54.313640,2026-04-09T18:12:54.313640,1274.18,Liability Only
POL_CLM_LEG_100_0,PN3601033851,CLM_LEG_100,2024-03-18T18:12:54.313640,2025-03-18T18:12:54.313640,1768.74,Comprehensive
POL_CLM_LEG_101_0,PN1349590697,CLM_LEG_101,2025-06-07T18:12:54.313640,2026-06-07T18:12:54.313640,1640.32,Liability Only
POL_CLM_LEG_102_0,PN4901212012,CLM_LEG_102,2024-12-01T18:12:54.313640,2025-12-01T18:12:54.313640,1403.2,Liability Only
POL_CLM_LEG_103_0,PN6584026064,CLM_LEG_103,2023-01-17T18:12:54.313640,2024-01-17T18:12:54.313640,1813.46,Liability Only
POL_CLM_LEG_104_0,PN1854915879,CLM_LEG_104,2024-01-24T18:12:54.313640,2025-01-23T18:12:54.313640,2411.71,Full Coverage
POL_CLM_LEG_105_0,PN5989624736,CLM_LEG_105,2024-05-16T18:12:54.313640,2025-05-16T18:12:54.313640,1630.58,Full Coverage
POL_CLM_LEG_106_0,PN9797390151,CLM_LEG_106,2023-09-14T18:12:54.313640,2024-09-13T18:12:54.313640,2010.13,Liability Only
POL_CLM_LEG_107_0,PN6129095260,CLM_LEG_107,2025-04-02T18:12:54.313640,2026-04-02T18:12:54.313640,1300.2,Liability Only
POL_CLM_LEG_108_0,PN160385771,CLM_LEG_108,2024-08-27T18:12:54.313640,2025-08-27T18:12:54.313640,1928.73,Liability Only
POL_CLM_LEG_109_0,PN2086033087,CLM_LEG_109,2024-01-10T18:12:54.313640,2025-01-09T18:12:54.313640,1384.39,Comprehensive
POL_CLM_LEG_110_0,PN6333088373,CLM_LEG_110,2024-07-11T18:12:54.313640,2025-07-11T18:12:54.313640,1994.85,Liability Only
POL_CLM_LEG_111_0,PN4773681586,CLM_LEG_111,2024-11-12T18:12:54.313640,2025-11-12T18:12:54.313640,1005.12,Full Coverage
POL_CLM_LEG_112_0,PN2553939072,CLM_LEG_112,2023-06-07T18:12:54.313640,2024-06-06T18:12:54.313640,1710.97,Comprehensive
POL_CLM_LEG_113_0,PN3361067828,CLM_LEG_113,2024-11-27T18:12:54.313640,2025-11-27T18:12:54.313640,2055.63,Liability Only
POL_CLM_LEG_114_0,PN3503475621,CLM_LEG_114,2023-05-20T18:12:54.313640,2024-05-19T18:12:54.313640,1691.88,Liability Only
POL_CLM_LEG_115_0,PN381341282,CLM_LEG_115,2023-03-07T18:12:54.313640,2024-03-06T18:12:54.313640,1130.0,Full Coverage
POL_CLM_LEG_115_1,PN9358902386,CLM_LEG_115,2024-07-02T18:12:54.313640,2025-07-02T18:12:54.313640,1105.05,Full Coverage
POL_CLM_LEG_116_0,PN6396207192,CLM_LEG_116,2025-02-27T18:12:54.313640,2026-02-27T18:12:54.313640,1266.33,Full Coverage
POL_CLM_LEG_117_0,PN4487899936,CLM_LEG_117,2023-07-23T18:12:54.313640,2024-07-22T18:12:54.313640,2404.95,Comprehensive
POL_CLM_LEG_118_0,PN9063132649,CLM_LEG_118,2024-02-20T18:12:54.313640,2025-02-19T18:12:54.313640,974.4,Full Coverage
POL_CLM_LEG_119_0,PN1408310851,CLM_LEG_119,2024-03-13T18:12:54.313640,2025-03-13T18:12:54.313640,1613.81,Liability Only
POL_CLM_LEG_120_0,PN5977478491,CLM_LEG_120,2025-05-15T18:12:54.313640,2026-05-15T18:12:54.313640,1229.21,Liability Only
POL_CLM_LEG_121_0,PN9716808669,CLM_LEG_121,2025-05-01T18:12:54.313640,2026-05-01T18:12:54.313640,1481.2,Full Coverage
POL_CLM_LEG_122_0,PN8079487246,CLM_LEG_122,2023-08-04T18:12:54.313640,2024-08-03T18:12:54.313640,891.14,Full Coverage
POL_CLM_LEG_123_0,PN7017321885,CLM_LEG_123,2024-08-29T18:12:54.313640,2025-08-29T18:12:54.313640,944.81,Full Coverage
POL_CLM_LEG_124_0,PN9458310803,CLM_LEG_124,2023-05-16T18:12:54.313640,2024-05-15T18:12:54.313640,1507.5,Comprehensive
POL_CLM_LEG_125_0,PN3584265310,CLM_LEG_125,2024-11-17T18:12:54.313640,2025-11-17T18:12:54.313640,2118.68,Liability Only
POL_CLM_LEG_126_0,PN1834450124,CLM_LEG_126,2024-04-09T18:12:54.313640,2025-04-09T18:12:54.313640,1305.5,Comprehensive
POL_CLM_LEG_127_0,PN5427059484,CLM_LEG_127,2024-08-28T18:12:54.313640,2025-08-28T18:12:54.313640,1766.67,Full Coverage
POL_CLM_LEG_127_1,PN5675507531,CLM_LEG_127,2023-10-21T18:12:54.313640,2024-10-20T18:12:54.313640,2432.18,Full Coverage
POL_CLM_LEG_128_0,PN5889279681,CLM_LEG_128,2024-12-06T18:12:54.313640,2025-12-06T18:12:54.313640,1863.38,Liability Only
POL_CLM_LEG_128_1,PN2534211575,CLM_LEG_128,2023-08-30T18:12:54.313640,2024-08-29T18:12:54.313640,938.02,Full Coverage
POL_CLM_LEG_129_0,PN7967220200,CLM_LEG_129,2025-04-21T18:12:54.313640,2026-04-21T18:12:54.313640,1066.11,Liability Only
POL_CLM_LEG_130_0,PN5082765198,CLM_LEG_130,2023-11-06T18:12:54.313640,2024-11-05T18:12:54.313640,1598.85,Full Coverage
POL_CLM_LEG_131_0,PN136169040,CLM_LEG_131,2023-07-14T18:12:54.313640,2024-07-13T18:12:54.313640,1280.62,Liability Only
POL_CLM_LEG_132_0,PN7561403070,CLM_LEG_132,2024-11-09T18:12:54.313640,2025-11-09T18:12:54.313640,2370.65,Comprehensive
POL_CLM_LEG_133_0,PN8714459963,CLM_LEG_133,2023-04-05T18:12:54.313640,2024-04-04T18:12:54.313640,2387.24,Liability Only
POL_CLM_LEG_134_0,PN6562097358,CLM_LEG_134,2024-11-18T18:12:54.313640,2025-11-18T18:12:54.313640,1900.98,Liability Only
POL_CLM_LEG_135_0,PN5730002377,CLM_LEG_135,2025-04-24T18:12:54.313640,2026-04-24T18:12:54.313640,901.38,Liability Only
POL_CLM_LEG_136_0,PN7542895911,CLM_LEG_136,2023-03-15T18:12:54.313640,2024-03-14T18:12:54.313640,1767.65,Liability Only
POL_CLM_LEG_137_0,PN4554652050,CLM_LEG_137,2024-03-14T18:12:54.313640,2025-03-14T18:12:54.313640,1970.75,Comprehensive
POL_CLM_LEG_138_0,PN8955850524,CLM_LEG_138,2024-10-01T18:12:54.313640,2025-10-01T18:12:54.313640,1650.8,Liability Only
POL_CLM_LEG_139_0,PN9276788227,CLM_LEG_139,2023-11-02T18:12:54.313640,2024-11-01T18:12:54.313640,867.76,Liability Only
POL_CLM_LEG_140_0,PN783116052,CLM_LEG_140,2023-10-27T18:12:54.313640,2024-10-26T18:12:54.313640,1225.63,Full Coverage
POL_CLM_LEG_141_0,PN9528047342,CLM_LEG_141,2023-08-16T18:12:54.313640,2024-08-15T18:12:54.313640,2221.13,Comprehensive
POL_CLM_LEG_142_0,PN471533217,CLM_LEG_142,2025-06-15T18:12:54.313640,2026-06-15T18:12:54.313640,2499.27,Comprehensive
POL_CLM_LEG_143_0,PN5100717104,CLM_LEG_143,2023-11-24T18:12:54.313640,2024-11-23T18:12:54.313640,868.39,Full Coverage
POL_CLM_LEG_144_0,PN6278042704,CLM_LEG_144,2023-09-08T18:12:54.313640,2024-09-07T18:12:54.313640,1551.79,Liability Only
POL_CLM_LEG_145_0,PN2886955525,CLM_LEG_145,2023-11-15T18:12:54.313640,2024-11-14T18:12:54.313640,1541.0,Liability Only
POL_CLM_LEG_146_0,PN4149075560,CLM_LEG_146,2024-03-12T18:12:54.313640,2025-03-12T18:12:54.313640,1391.53,Liability Only
POL_CLM_LEG_146_1,PN5362096925,CLM_LEG_146,2024-08-12T18:12:54.313640,2025-08-12T18:12:54.313640,1939.23,Full Coverage
POL_CLM_LEG_147_0,PN6444807481,CLM_LEG_147,2023-07-27T18:12:54.313640,2024-07-26T18:12:54.313640,1642.3,Comprehensive
POL_CLM_LEG_148_0,PN4333542812,CLM_LEG_148,2023-03-26T18:12:54.313640,2024-03-25T18:12:54.313640,2092.85,Full Coverage
POL_CLM_LEG_148_1,PN4205680331,CLM_LEG_148,2024-03-28T18:12:54.313640,2025-03-28T18:12:54.313640,949.7,Liability Only
POL_CLM_LEG_149_0,PN8782650228,CLM_LEG_149,2023-05-07T18:12:54.313640,2024-05-06T18:12:54.313640,1487.1,Comprehensive
POL_CLM_LEG_150_0,PN7048813983,CLM_LEG_150,2025-07-05T18:12:54.313640,2026-07-05T18:12:54.313640,1918.02,Comprehensive
POL_CLM_LEG_151_0,PN6130274747,CLM_LEG_151,2025-05-12T18:12:54.313640,2026-05-12T18:12:54.313640,1118.89,Liability Only
POL_CLM_LEG_152_0,PN4470327352,CLM_LEG_152,2024-02-12T18:12:54.313640,2025-02-11T18:12:54.313640,1863.19,Full Coverage
POL_CLM_LEG_153_0,PN7067314364,CLM_LEG_153,2023-12-22T18:12:54.313640,2024-12-21T18:12:54.313640,1022.72,Liability Only
POL_CLM_LEG_154_0,PN7433519273,CLM_LEG_154,2023-07-22T18:12:54.313640,2024-07-21T18:12:54.313640,1624.01,Full Coverage
POL_CLM_LEG_155_0,PN45655695,CLM_LEG_155,2023-10-22T18:12:54.313640,2024-10-21T18:12:54.313640,2158.83,Comprehensive
POL_CLM_LEG_155_1,PN9682167160,CLM_LEG_155,2025-01-25T18:12:54.313640,2026-01-25T18:12:54.313640,1328.28,Full Coverage
POL_CLM_LEG_156_0,PN5803656998,CLM_LEG_156,2025-04-02T18:12:54.313640,2026-04-02T18:12:54.313640,1181.99,Full Coverage
POL_CLM_LEG_157_0,PN5210081924,CLM_LEG_157,2025-03-08T18:12:54.313640,2026-03-08T18:12:54.313640,1901.11,Full Coverage
POL_CLM_LEG_158_0,PN9812919102,CLM_LEG_158,2023-07-04T18:12:54.313640,2024-07-03T18:12:54.313640,1296.16,Comprehensive
POL_CLM_LEG_159_0,PN2913677426,CLM_LEG_159,2023-03-05T18:12:54.313640,2024-03-04T18:12:54.313640,1620.25,Liability Only
POL_CLM_LEG_160_0,PN8022898765,CLM_LEG_160,2023-12-20T18:12:54.313640,2024-12-19T18:12:54.313640,1045.89,Full Coverage
POL_CLM_LEG_161_0,PN8064406333,CLM_LEG_161,2024-02-02T18:12:54.313640,2025-02-01T18:12:54.313640,2068.7,Full Coverage
POL_CLM_LEG_161_1,PN2663700358,CLM_LEG_161,2023-02-03T18:12:54.313640,2024-02-03T18:12:54.313640,918.68,Liability Only
POL_CLM_LEG_162_0,PN2058186378,CLM_LEG_162,2023-04-22T18:12:54.313640,2024-04-21T18:12:54.313640,1663.15,Full Coverage
POL_CLM_LEG_163_0,PN2207925631,CLM_LEG_163,2024-09-04T18:12:54.313640,2025-09-04T18:12:54.313640,2223.71,Comprehensive
POL_CLM_LEG_164_0,PN2638566461,CLM_LEG_164,2024-02-21T18:12:54.313640,2025-02-20T18:12:54.313640,2270.94,Liability Only
POL_CLM_LEG_164_1,PN812359620,CLM_LEG_164,2024-01-02T18:12:54.313640,2025-01-01T18:12:54.313640,1623.38,Liability Only
POL_CLM_LEG_165_0,PN8018151306,CLM_LEG_165,2023-12-28T18:12:54.313640,2024-12-27T18:12:54.313640,1441.26,Liability Only
