vehicle_id,vin,policy_id,make,model,year,color,license_plate
VEH_POL_CLM_LEG_19_0,3VC0U8U2FUPM6YLK8,POL_CLM_LEG_19_0,Nissan,Sentra,2017,LightSteelBlue,hm1998
VEH_POL_CLM_LEG_20_0,49AZR6XX8ZL78NUK7,POL_CLM_LEG_20_0,Nissan,Pathfinder,2018,LavenderBlush,vx5471
VEH_POL_CLM_LEG_20_1,B6GT8F8UACZ25PDU0,POL_CLM_LEG_20_1,Ford,Mustang,2017,SaddleBrown,Kt2181
VEH_POL_CLM_LEG_21_0,ZA0BCFJC47PRPLNDA,POL_CLM_LEG_21_0,Chevrolet,Silverado,2021,BurlyWood,UE2404
VEH_POL_CLM_LEG_22_0,1B4MTKZXK7N4BFH13,POL_CLM_LEG_22_0,Nissan,Altima,2022,DarkSalmon,Ro9777
VEH_POL_CLM_LEG_23_0,EZ731N8VVEAWU8L16,POL_CLM_LEG_23_0,Nissan,Sentra,2020,MintCream,BW7606
VEH_POL_CLM_LEG_24_0,65EGXJDZVB19VYCZJ,POL_CLM_LEG_24_0,Ford,Escape,2016,DarkSeaGreen,Qf8013
VEH_POL_CLM_LEG_24_1,MZHKCGTLYZFV38FL2,POL_CLM_LEG_24_1,Honda,Pilot,2015,OldLace,YX1257
VEH_POL_CLM_LEG_25_0,MZLSR2TDYCK46G1X1,POL_CLM_LEG_25_0,Chevrolet,Malibu,2023,Turquoise,ZW9828
VEH_POL_CLM_LEG_26_0,WPW6VU9S2NH21KSTP,POL_CLM_LEG_26_0,Toyota,Camry,2023,SpringGreen,TJ7437
VEH_POL_CLM_LEG_27_0,H89Z1EFVV5E17B2HJ,POL_CLM_LEG_27_0,Nissan,Altima,2020,SlateGray,BE7175
VEH_POL_CLM_LEG_28_0,G6MSSB9L0U44JUFYN,POL_CLM_LEG_28_0,Honda,Accord,2020,NavajoWhite,en8193
VEH_POL_CLM_LEG_29_0,9HP3M36A6RHTKEFW3,POL_CLM_LEG_29_0,Toyota,RAV4,2016,Silver,DQ1252
VEH_POL_CLM_LEG_30_0,LDZSWYPJEWET6EF7U,POL_CLM_LEG_30_0,Honda,Pilot,2022,DarkSalmon,Yn9936
VEH_POL_CLM_LEG_31_0,0YKCR95F4W34GYJ0M,POL_CLM_LEG_31_0,Chevrolet,Silverado,2024,WhiteSmoke,fI9400
VEH_POL_CLM_LEG_32_0,NEAU7Z4WF6W5U1DY6,POL_CLM_LEG_32_0,Chevrolet,Silverado,2013,Ivory,ND2633
VEH_POL_CLM_LEG_33_0,7ZRP50R7S2M364WRJ,POL_CLM_LEG_33_0,Nissan,Altima,2024,BlueViolet,rG7807
VEH_POL_CLM_LEG_34_0,WUJA1AUUNG3PDRWJU,POL_CLM_LEG_34_0,Honda,Accord,2014,Ivory,cr5918
VEH_POL_CLM_LEG_35_0,KZ1P2SNVJLM015Y1R,POL_CLM_LEG_35_0,Nissan,Sentra,2019,DarkOrange,Lq5227
VEH_POL_CLM_LEG_36_0,T23XZBNX34SWCJNX0,POL_CLM_LEG_36_0,Honda,Accord,2013,MediumSpringGreen,VG6715
VEH_POL_CLM_LEG_37_0,8B2FTA57UG2T0XZMY,POL_CLM_LEG_37_0,Chevrolet,Malibu,2021,Teal,Zf7475
VEH_POL_CLM_LEG_38_0,2MPWU1CCK47M8KXG7,POL_CLM_LEG_38_0,Honda,Accord,2014,Ivory,rh8823
VEH_POL_CLM_LEG_39_0,FTVTMDTJU3JRNSJM2,POL_CLM_LEG_39_0,Nissan,Altima,2014,Black,FL6598
VEH_POL_CLM_LEG_40_0,DCX9ZHL8UA4JDZ4C7,POL_CLM_LEG_40_0,Chevrolet,Silverado,2017,Magenta,UR656
VEH_POL_CLM_LEG_40_1,HVG17G1HHJH44M2DC,POL_CLM_LEG_40_1,Chevrolet,Malibu,2015,LightBlue,OO1752
VEH_POL_CLM_LEG_41_0,584NL66VKG2TP1EUP,POL_CLM_LEG_41_0,Chevrolet,Silverado,2022,MediumVioletRed,FZ5226
VEH_POL_CLM_LEG_41_1,M52SDULAZNDM5GJJ8,POL_CLM_LEG_41_1,Nissan,Altima,2018,Teal,vN3157
VEH_POL_CLM_LEG_42_0,TG0N5KFEWHDJHRNE8,POL_CLM_LEG_42_0,Ford,Explorer,2012,DarkMagenta,XI5329
VEH_POL_CLM_LEG_43_0,APE6XULTJ5BDFHJ4D,POL_CLM_LEG_43_0,Honda,Pilot,2022,LawnGreen,Qz2297
VEH_POL_CLM_LEG_44_0,MV3MPMZWWYU9KLT2R,POL_CLM_LEG_44_0,Ford,Explorer,2015,BlanchedAlmond,xr5008
VEH_POL_CLM_LEG_44_1,KXEF3MXV5CFHLKJYJ,POL_CLM_LEG_44_1,Toyota,Highlander,2019,Gold,Xp9560
VEH_POL_CLM_LEG_45_0,W8PGA1Y80CFDC5VAP,POL_CLM_LEG_45_0,Chevrolet,Malibu,2021,Gainsboro,Cf9233
VEH_POL_CLM_LEG_46_0,XC7NH1REUFBM75S57,POL_CLM_LEG_46_0,Toyota,Camry,2014,Maroon,qb6726
VEH_POL_CLM_LEG_47_0,80FWXXVUYLMU3RNJL,POL_CLM_LEG_47_0,Nissan,Pathfinder,2012,Khaki,Hu6889
VEH_POL_CLM_LEG_48_0,KUZT1K23W3VG6RJ0Y,POL_CLM_LEG_48_0,Toyota,Corolla,2015,SaddleBrown,ai893
VEH_POL_CLM_LEG_49_0,CXU3XZJYUJGCEDSR0,POL_CLM_LEG_49_0,Chevrolet,Equinox,2014,SeaGreen,Oe5818
VEH_POL_CLM_LEG_50_0,ABUGDJ00HETML39S3,POL_CLM_LEG_50_0,Chevrolet,Equinox,2015,Gray,DJ4572
VEH_POL_CLM_LEG_51_0,1EJNUF6JNA90N9J9G,POL_CLM_LEG_51_0,Ford,F-150,2023,GhostWhite,dR5674
VEH_POL_CLM_LEG_52_0,N87F11VESKMBZ9HRA,POL_CLM_LEG_52_0,Toyota,Corolla,2017,MintCream,RP5705
VEH_POL_CLM_LEG_53_0,3AB2SWNCFDX79XBY0,POL_CLM_LEG_53_0,Ford,F-150,2016,MediumSlateBlue,Wo5236
VEH_POL_CLM_LEG_54_0,H9313RGZME6TRK0GG,POL_CLM_LEG_54_0,Toyota,Corolla,2017,LightGreen,sW590
VEH_POL_CLM_LEG_55_0,S5W5FUR4UR2T16XNX,POL_CLM_LEG_55_0,Ford,Explorer,2021,RoyalBlue,WH9723
VEH_POL_CLM_LEG_56_0,84GZ2FKPLDYB7FBDG,POL_CLM_LEG_56_0,Ford,F-150,2020,PaleVioletRed,DD8246
VEH_POL_CLM_LEG_57_0,TXWBH0A7Y74SYM164,POL_CLM_LEG_57_0,Toyota,Highlander,2020,Violet,IZ9630
VEH_POL_CLM_LEG_58_0,BCL88D0UGUJXF1PDY,POL_CLM_LEG_58_0,Toyota,RAV4,2018,FireBrick,PT2218
VEH_POL_CLM_LEG_59_0,Y6FFPMF9RML9LN2R0,POL_CLM_LEG_59_0,Ford,Mustang,2021,DarkMagenta,Wc634
VEH_POL_CLM_LEG_60_0,VNV1MR8ABKAE6A9HL,POL_CLM_LEG_60_0,Nissan,Rogue,2019,SaddleBrown,Xi149
VEH_POL_CLM_LEG_60_1,BMENWH3DP7103F4ZW,POL_CLM_LEG_60_1,Ford,Escape,2011,LightSalmon,bX5084
VEH_POL_CLM_LEG_61_0,1WCB2M3P55HYWA2NL,POL_CLM_LEG_61_0,Toyota,RAV4,2010,Snow,We2044
VEH_POL_CLM_LEG_62_0,VL0FZ991VCR2EMS1V,POL_CLM_LEG_62_0,Toyota,RAV4,2018,ForestGreen,sz1730
VEH_POL_CLM_LEG_63_0,T2EEVTYGX1JC2L7CZ,POL_CLM_LEG_63_0,Ford,F-150,2016,Red,xQ8057
VEH_POL_CLM_LEG_64_0,GMY2FM43XR7HZF1C1,POL_CLM_LEG_64_0,Chevrolet,Malibu,2015,WhiteSmoke,Sa4579
VEH_POL_CLM_LEG_65_0,4KM3LSL1GV1VX9ZZN,POL_CLM_LEG_65_0,Honda,Civic,2023,DarkGray,bS5089
VEH_POL_CLM_LEG_66_0,FK3XBYANJ5Y5A5YHN,POL_CLM_LEG_66_0,Nissan,Altima,2014,Pink,AE1340
VEH_POL_CLM_LEG_67_0,5UGTS7AJUMNFMMXH9,POL_CLM_LEG_67_0,Toyota,RAV4,2017,Turquoise,Aq4479
VEH_POL_CLM_LEG_68_0,CJN9988HMNE1UZ5ZP,POL_CLM_LEG_68_0,Nissan,Sentra,2022,DeepPink,Bi4789
VEH_POL_CLM_LEG_69_0,97LUGEU35L0UE99E7,POL_CLM_LEG_69_0,Nissan,Rogue,2016,Lime,Fd4239
VEH_POL_CLM_LEG_70_0,V8DL6026PPR767K2D,POL_CLM_LEG_70_0,Honda,CR-V,2011,PapayaWhip,Ef1883
VEH_POL_CLM_LEG_70_1,9XWXWHAC2E4SYGNSF,POL_CLM_LEG_70_1,Honda,Accord,2022,Azure,hG7588
VEH_POL_CLM_LEG_71_0,2AJP192C795TLSJPB,POL_CLM_LEG_71_0,Honda,Accord,2016,SeaGreen,Xa3783
VEH_POL_CLM_LEG_72_0,X1WU52UR4B9UP1VUX,POL_CLM_LEG_72_0,Chevrolet,Malibu,2016,LemonChiffon,ku7589
VEH_POL_CLM_LEG_73_0,R62KFK7Z6SYCTFW6V,POL_CLM_LEG_73_0,Toyota,Corolla,2014,BurlyWood,Ss4812
VEH_POL_CLM_LEG_74_0,RFW0GSJZ630EDRMUN,POL_CLM_LEG_74_0,Chevrolet,Tahoe,2015,Ivory,YW477
VEH_POL_CLM_LEG_75_0,VBFM55FE2BL18KF68,POL_CLM_LEG_75_0,Nissan,Rogue,2016,SandyBrown,pi5045
VEH_POL_CLM_LEG_76_0,S5UA6HWSPCWJVXV4B,POL_CLM_LEG_76_0,Toyota,RAV4,2010,OldLace,QB8685
VEH_POL_CLM_LEG_76_1,MEBWWLCD9FKY0VV81,POL_CLM_LEG_76_1,Honda,Accord,2020,SkyBlue,Qq9842
VEH_POL_CLM_LEG_77_0,2L6424CSE5LPGGBV9,POL_CLM_LEG_77_0,Ford,F-150,2011,Chocolate,Wn934
VEH_POL_CLM_LEG_78_0,0W30R4JVX7XT1T36H,POL_CLM_LEG_78_0,Nissan,Altima,2017,LightGoldenRodYellow,Zo8411
VEH_POL_CLM_LEG_79_0,DS31GXPBM3HYZJCKV,POL_CLM_LEG_79_0,Ford,Escape,2010,DarkGreen,ZD7246
VEH_POL_CLM_LEG_80_0,LPV84G47SSBEFS56S,POL_CLM_LEG_80_0,Toyota,Camry,2020,SteelBlue,LK2338
VEH_POL_CLM_LEG_81_0,UVZVAWL73CE4MNUFW,POL_CLM_LEG_81_0,Chevrolet,Silverado,2023,LightGoldenRodYellow,zK2635
VEH_POL_CLM_LEG_82_0,2L50JC5N4KUFNBGDT,POL_CLM_LEG_82_0,Honda,Accord,2023,LightSkyBlue,Db4628
VEH_POL_CLM_LEG_83_0,MS5LL2D9U9GBN5DLB,POL_CLM_LEG_83_0,Chevrolet,Equinox,2013,Wheat,hg3139
VEH_POL_CLM_LEG_84_0,SBUYLWL6LGKLRDEKA,POL_CLM_LEG_84_0,Nissan,Altima,2015,Chocolate,fG6979
VEH_POL_CLM_LEG_85_0,UVJ83VFL6UBA6BNCN,POL_CLM_LEG_85_0,Nissan,Altima,2013,LightSlateGray,pi4054
VEH_POL_CLM_LEG_86_0,MLG23C72VD30DLY2S,POL_CLM_LEG_86_0,Nissan,Pathfinder,2019,DarkBlue,qw6208
VEH_POL_CLM_LEG_87_0,6JMG7L5LTCDS4KMVT,POL_CLM_LEG_87_0,Honda,Civic,2023,Navy,gG2043
VEH_POL_CLM_LEG_88_0,VCKSWHJFSCGZR9VMZ,POL_CLM_LEG_88_0,Chevrolet,Silverado,2015,FireBrick,Dx9743
VEH_POL_CLM_LEG_88_1,7VTWSV4F8CD32NTYC,POL_CLM_LEG_88_1,Honda,Accord,2021,Cyan,Ed353
VEH_POL_CLM_LEG_89_0,EEUNWGZLV7L8R9MCA,POL_CLM_LEG_89_0,Honda,Accord,2022,LemonChiffon,rp7541
VEH_POL_CLM_LEG_90_0,EKNVB04M55H0PLNNU,POL_CLM_LEG_90_0,Nissan,Pathfinder,2023,LightPink,mU2532
VEH_POL_CLM_LEG_91_0,GN74F9ZECA0TR9CYP,POL_CLM_LEG_91_0,Honda,Pilot,2012,MidnightBlue,yZ7684
VEH_POL_CLM_LEG_92_0,FTVRMGWW4HTPVN9V0,POL_CLM_LEG_92_0,Chevrolet,Tahoe,2019,LightYellow,bY5416
VEH_POL_CLM_LEG_93_0,C1U51KUUXJXYZZUWX,POL_CLM_LEG_93_0,Toyota,Highlander,2021,HoneyDew,yi5164
VEH_POL_CLM_LEG_94_0,R6VLM9KFZWL2JXWVY,POL_CLM_LEG_94_0,Ford,F-150,2017,DarkGoldenRod,PQ2536
VEH_POL_CLM_LEG_95_0,SEC2JXKJ1W71YNF2H,POL_CLM_LEG_95_0,Ford,F-150,2014,GreenYellow,he5514
VEH_POL_CLM_LEG_96_0,98W441PNY0FW4BJ4B,POL_CLM_LEG_96_0,Honda,Accord,2015,LightGoldenRodYellow,gO1088
VEH_POL_CLM_LEG_97_0,K11UN0SE5A7RZ8ZB7,POL_CLM_LEG_97_0,Chevrolet,Tahoe,2017,DarkOrange,Lb2252
VEH_POL_CLM_LEG_97_1,75MJDYN211WGMZFVZ,POL_CLM_LEG_97_1,Ford,Mustang,2019,Black,ya8008
VEH_POL_CLM_LEG_98_0,DDRHKGAD7Y48Y0D5E,POL_CLM_LEG_98_0,Toyota,Camry,2016,DarkKhaki,pV6586
VEH_POL_CLM_LEG_99_0,DGKYCR92ZZ2J2KCN9,POL_CLM_LEG_99_0,Nissan,Rogue,2024,GreenYellow,dY541
VEH_POL_CLM_LEG_100_0,RT7XFTE2HY70DCVJR,POL_CLM_LEG_100_0,Ford,Explorer,2012,MistyRose,il1235
VEH_POL_CLM_LEG_101_0,Y7YJ06VU8TR422UA8,POL_CLM_LEG_101_0,Chevrolet,Equinox,2020,Magenta,qk6944
VEH_POL_CLM_LEG_102_0,U9MKB9YN5M42KGV8Y,POL_CLM_LEG_102_0,Chevrolet,Silverado,2019,Purple,Pp5988
VEH_POL_CLM_LEG_103_0,DZT6RGBA9HN3YT838,POL_CLM_LEG_103_0,Ford,Mustang,2024,Green,Jq2229
VEH_POL_CLM_LEG_104_0,B2BD3ZSZ5EW7BEYS7,POL_CLM_LEG_104_0,Toyota,Camry,2015,Maroon,XB1964
VEH_POL_CLM_LEG_105_0,YAX64DX4C3DWXCGM4,POL_CLM_LEG_105_0,Toyota,Corolla,2021,DarkRed,Ag5122
VEH_POL_CLM_LEG_106_0,9WE432WMDEPZVR7BD,POL_CLM_LEG_106_0,Chevrolet,Malibu,2011,Magenta,rV2321
VEH_POL_CLM_LEG_107_0,F6CA70WKZ3SEEJRHF,POL_CLM_LEG_107_0,Nissan,Pathfinder,2022,PaleVioletRed,YS1397
VEH_POL_CLM_LEG_108_0,T8X2MAHDUDM2UH2YK,POL_CLM_LEG_108_0,Toyota,Corolla,2021,White,rv5154
VEH_POL_CLM_LEG_109_0,E47TF7BNGJX6RDBUF,POL_CLM_LEG_109_0,Honda,Accord,2022,HoneyDew,CW5189
VEH_POL_CLM_LEG_110_0,D60WLGZL2LD15NHSS,POL_CLM_LEG_110_0,Toyota,Highlander,2018,WhiteSmoke,jz8682
VEH_POL_CLM_LEG_111_0,7SNE0X9GEZBE5SFM6,POL_CLM_LEG_111_0,Chevrolet,Equinox,2013,DarkSalmon,UP6041
VEH_POL_CLM_LEG_112_0,386WVHPU5HSSAR5JR,POL_CLM_LEG_112_0,Nissan,Rogue,2022,Chocolate,Ig4418
VEH_POL_CLM_LEG_113_0,VA9BS2BUS34RHVA18,POL_CLM_LEG_113_0,Honda,Civic,2024,Magenta,cl3137
VEH_POL_CLM_LEG_114_0,H9AZFSVW9SE0G5X0A,POL_CLM_LEG_114_0,Honda,CR-V,2014,DarkSlateBlue,mw9095
VEH_POL_CLM_LEG_115_0,ZUK10XVGZXM7T7NBN,POL_CLM_LEG_115_0,Toyota,Highlander,2024,NavajoWhite,Lo5698
VEH_POL_CLM_LEG_115_1,NY0V2EMUY115012L6,POL_CLM_LEG_115_1,Chevrolet,Silverado,2015,Teal,dS3379
VEH_POL_CLM_LEG_116_0,BNRT4SU46RNZZ96G6,POL_CLM_LEG_116_0,Nissan,Pathfinder,2014,MediumSeaGreen,Pk8322
VEH_POL_CLM_LEG_117_0,6K8DK0T5UXK8UEMRY,POL_CLM_LEG_117_0,Toyota,Camry,2016,Tomato,bv459
VEH_POL_CLM_LEG_118_0,A34UMWY2TYUVSV6L3,POL_CLM_LEG_118_0,Ford,Escape,2011,Snow,uc8144
VEH_POL_CLM_LEG_119_0,92BMSF70K94ZYFHBL,POL_CLM_LEG_119_0,Honda,Pilot,2015,Teal,fL7390
VEH_POL_CLM_LEG_120_0,NG0Y9ER9UEA7287F9,POL_CLM_LEG_120_0,Honda,Pilot,2014,HotPink,xq4828
VEH_POL_CLM_LEG_121_0,0SK89VEV6RZ16EVLP,POL_CLM_LEG_121_0,Nissan,Sentra,2020,DarkSeaGreen,wl4595
VEH_POL_CLM_LEG_122_0,DBYWH7KAURZCTGLW8,POL_CLM_LEG_122_0,Honda,Pilot,2015,Sienna,FF7904
VEH_POL_CLM_LEG_123_0,0RNAMLRVH61PRF161,POL_CLM_LEG_123_0,Ford,Mustang,2012,LightCoral,sX4480
VEH_POL_CLM_LEG_124_0,WCGS59C81CP7PV01E,POL_CLM_LEG_124_0,Chevrolet,Equinox,2023,Orange,qY9622
VEH_POL_CLM_LEG_125_0,VB44LVSAAJ84SY6PT,POL_CLM_LEG_125_0,Honda,Pilot,2014,LemonChiffon,ct6998
VEH_POL_CLM_LEG_126_0,2T9WMSRJZ94N1AJWE,POL_CLM_LEG_126_0,Honda,Accord,2011,LightSkyBlue,Zd799
VEH_POL_CLM_LEG_127_0,FJP7MKU7T2GD1U54Z,POL_CLM_LEG_127_0,Chevrolet,Equinox,2015,PowderBlue,ay9311
VEH_POL_CLM_LEG_127_1,0MUMEEK2P7FHT43VZ,POL_CLM_LEG_127_1,Ford,Explorer,2020,White,Gi6392
VEH_POL_CLM_LEG_128_0,SC47SLM36W2M0A3H5,POL_CLM_LEG_128_0,Nissan,Altima,2016,Lime,IB2062
VEH_POL_CLM_LEG_128_1,EECZ2C21BD3TBDJCZ,POL_CLM_LEG_128_1,Honda,Civic,2014,Salmon,xZ5980
VEH_POL_CLM_LEG_129_0,WWGZAE1KWM52XTC42,POL_CLM_LEG_129_0,Toyota,Camry,2024,HoneyDew,FD9727
VEH_POL_CLM_LEG_130_0,GK6U9DHT0NWR8FMNH,POL_CLM_LEG_130_0,Nissan,Rogue,2021,Khaki,YJ5761
VEH_POL_CLM_LEG_131_0,2LSUTMK0CTNS1Z4HP,POL_CLM_LEG_131_0,Honda,Pilot,2011,LightSteelBlue,PZ6223
VEH_POL_CLM_LEG_132_0,C4SZF9TDRYCEPWD79,POL_CLM_LEG_132_0,Chevrolet,Equinox,2023,Beige,Lg2289
VEH_POL_CLM_LEG_133_0,MW9E40K0WK3YPSWPS,POL_CLM_LEG_133_0,Toyota,RAV4,2013,DarkRed,bq399
VEH_POL_CLM_LEG_134_0,SETH8A14TAFWLKX2Y,POL_CLM_LEG_134_0,Ford,Escape,2022,SeaGreen,kx4149
VEH_POL_CLM_LEG_135_0,SKTTU3UA296DR5RBF,POL_CLM_LEG_135_0,Nissan,Pathfinder,2022,MidnightBlue,Um9880
VEH_POL_CLM_LEG_136_0,RLN2VTVUSVFBJWNZ2,POL_CLM_LEG_136_0,Ford,Escape,2017,PowderBlue,cf7112
VEH_POL_CLM_LEG_137_0,AB4M1A6MDMMMYJYW7,POL_CLM_LEG_137_0,Ford,Explorer,2010,Chocolate,KN3646
VEH_POL_CLM_LEG_138_0,MALS5V6JZW9NNV3DZ,POL_CLM_LEG_138_0,Toyota,RAV4,2011,DarkTurquoise,OV4143
VEH_POL_CLM_LEG_139_0,3ZFK8GX9C5HJKV3X8,POL_CLM_LEG_139_0,Ford,Mustang,2018,SeaGreen,bC9235
VEH_POL_CLM_LEG_140_0,MC3SG3YK3RUGPXR2F,POL_CLM_LEG_140_0,Nissan,Altima,2019,DarkTurquoise,zi5907
VEH_POL_CLM_LEG_141_0,TY47JY35670BGSH12,POL_CLM_LEG_141_0,Toyota,Corolla,2019,DarkKhaki,TE4860
VEH_POL_CLM_LEG_142_0,57X4JKFZHHEA3LT9P,POL_CLM_LEG_142_0,Chevrolet,Tahoe,2015,Green,hR6459
VEH_POL_CLM_LEG_143_0,JA3KVYB02B6LKC86Z,POL_CLM_LEG_143_0,Toyota,Corolla,2012,Chartreuse,ni6090
VEH_POL_CLM_LEG_144_0,0ED17U487J6HE3LWN,POL_CLM_LEG_144_0,Toyota,Highlander,2023,Chocolate,Po9576
VEH_POL_CLM_LEG_145_0,EF9RJWTN8LPZ867M0,POL_CLM_LEG_145_0,Honda,Pilot,2013,Lime,pR9789
VEH_POL_CLM_LEG_146_0,8W4Y8Z3HVL8M3E55N,POL_CLM_LEG_146_0,Ford,F-150,2020,Teal,Hq4381
VEH_POL_CLM_LEG_146_1,C4HG67X62PB548SP4,POL_CLM_LEG_146_1,Chevrolet,Malibu,2014,DeepSkyBlue,DJ9391
VEH_POL_CLM_LEG_147_0,FJCP1VLZ2YGRYAGLW,POL_CLM_LEG_147_0,Chevrolet,Silverado,2023,MintCream,jR3977
VEH_POL_CLM_LEG_148_0,U8424Z3LS1JZ43GPG,POL_CLM_LEG_148_0,Toyota,Corolla,2013,Pink,fY8181
VEH_POL_CLM_LEG_148_1,87YX69G0FPRJCN8D0,POL_CLM_LEG_148_1,Chevrolet,Equinox,2010,LightGray,KA4301
VEH_POL_CLM_LEG_149_0,ZD0G52KTE5W9KZPPE,POL_CLM_LEG_149_0,Chevrolet,Tahoe,2023,MediumSlateBlue,Zt9904
VEH_POL_CLM_LEG_150_0,X6NZSAELZZ001JDBL,POL_CLM_LEG_150_0,Ford,Explorer,2013,MidnightBlue,TN5800
VEH_POL_CLM_LEG_151_0,MXZ303ATN9ZE6BFFT,POL_CLM_LEG_151_0,Honda,Pilot,2024,SaddleBrown,UG1900
VEH_POL_CLM_LEG_152_0,C0RJL9T9KMR6J47UR,POL_CLM_LEG_152_0,Ford,Mustang,2012,ForestGreen,CU3162
VEH_POL_CLM_LEG_153_0,92E5Y3BEHBJ0R97BM,POL_CLM_LEG_153_0,Honda,CR-V,2021,DarkMagenta,FT4716
VEH_POL_CLM_LEG_154_0,T45ED5FFTK6WW9UVP,POL_CLM_LEG_154_0,Nissan,Pathfinder,2017,DarkTurquoise,CU1744
VEH_POL_CLM_LEG_155_0,TDLK9EN7DLAS0SXJY,POL_CLM_LEG_155_0,Toyota,Corolla,2022,Wheat,oi2376
VEH_POL_CLM_LEG_155_1,XR8963E53K31VWDJH,POL_CLM_LEG_155_1,Ford,F-150,2020,LightSeaGreen,bk3494
VEH_POL_CLM_LEG_156_0,5F2K1YDTR3LZEY4TT,POL_CLM_LEG_156_0,Chevrolet,Silverado,2010,HoneyDew,zQ2119
VEH_POL_CLM_LEG_157_0,VP13XRRBMSHZFTXUK,POL_CLM_LEG_157_0,Chevrolet,Tahoe,2014,Sienna,yg7563
VEH_POL_CLM_LEG_158_0,3K9ZKJRVV7TTPS03M,POL_CLM_LEG_158_0,Chevrolet,Silverado,2024,PaleTurquoise,rT498
VEH_POL_CLM_LEG_159_0,TDYFGNC5KWSZXJ85G,POL_CLM_LEG_159_0,Nissan,Altima,2022,LightSalmon,cr6380
VEH_POL_CLM_LEG_160_0,9JZRAPAYSPY10K3XZ,POL_CLM_LEG_160_0,Honda,Accord,2021,MediumSlateBlue,Qx1626
VEH_POL_CLM_LEG_161_0,EADA95GYYRX3GKSSA,POL_CLM_LEG_161_0,Chevrolet,Malibu,2011,Cyan,kJ6189
VEH_POL_CLM_LEG_161_1,08S5WGV4BAX0951WV,POL_CLM_LEG_161_1,Honda,Civic,2021,Lavender,Gf2011
VEH_POL_CLM_LEG_162_0,PT0765HCAWVJY6DXY,POL_CLM_LEG_162_0,Ford,F-150,2017,Azure,wa2225
VEH_POL_CLM_LEG_163_0,F0SRTWZ750S60NP8Y,POL_CLM_LEG_163_0,Chevrolet,Tahoe,2010,DarkSeaGreen,IT9881
VEH_POL_CLM_LEG_164_0,9FGZCSFFT38THV9MJ,POL_CLM_LEG_164_0,Ford,Mustang,2022,DodgerBlue,cE4783
VEH_POL_CLM_LEG_164_1,5T3MDHVT9222V655W,POL_CLM_LEG_164_1,Honda,Civic,2023,MediumSlateBlue,Lw2780
VEH_POL_CLM_LEG_165_0,838192X5DVTFDGM10,POL_CLM_LEG_165_0,Toyota,Camry,2024,Violet,Ti7247
