shop_id,name,address,phone,license_number,is_fraud_involved
SHOP_31,Taylor's Auto Repair,"25431 Bowman Fort Apt. 584
Nelsonfort, DC 44470",(704)767-8203x69061,SL4404289,False
SHOP_32,Alvarado's Auto Repair,"40973 Michelle Drives
Port Lisachester, MS 58048",(565)740-5324x21694,SL30019617,False
SHOP_33,Haynes's Auto Repair,"USCGC Mcintyre
FPO AA 72610",+1-805-981-3805x73213,SL74883048,False
SHOP_34,Todd's Auto Repair,"PSC 8645, Box 5526
APO AE 41828",407-705-5705,SL4847662,False
SHOP_35,Hart's Auto Repair,"1235 Rios Island Suite 926
West Ryan, AZ 50685",+1-525-951-5179x7519,SL69924996,False
SHOP_36,King's Auto Repair,"73445 Elizabeth Road
Hendersonburgh, DE 26369",461-464-6152x653,SL17113620,False
SHOP_37,Bradford's Auto Repair,"81014 Gary Stravenue Suite 198
Bradleyside, PA 86785",537-248-1268x179,SL97687447,False
SHOP_38,Smith's Auto Repair,"899 Mark Shoal Apt. 814
East Jaytown, MA 04869",+1-210-456-3586,SL14181622,False
SHOP_39,Strickland's Auto Repair,"Unit 1669 Box 4602
DPO AP 10342",(446)776-4281,SL75964820,False
SHOP_40,Mills's Auto Repair,"74988 Richards Spurs
Carolburgh, MS 01090",001-820-733-1465,SL66496329,False
SHOP_41,Baldwin's Auto Repair,"5781 Andrew Ports Suite 043
Robertsville, MO 35978",(908)462-9532x230,SL36401976,False
SHOP_42,Barry's Auto Repair,"Unit 8764 Box 1261
DPO AE 88253",001-255-774-5861,SL67645639,False
SHOP_43,Gonzalez's Auto Repair,"354 Pittman Spring
Robertsonstad, OK 72030",819.420.6965x69325,SL61536679,False
SHOP_44,Graham's Auto Repair,"8312 Peterson Glens
New Jamiestad, MA 83702",480.622.8017x7106,SL48701528,False
SHOP_45,Dillon's Auto Repair,"944 Walker Lakes Apt. 414
New Charles, WA 28938",(831)886-6790,SL85863254,False
SHOP_46,Tucker's Auto Repair,"2011 Kenneth Plaza Apt. 843
Mathisburgh, MO 02839",687-477-9533,SL17884579,False
SHOP_47,Nguyen's Auto Repair,"42577 Carrillo Motorway
Kingmouth, TX 44944",6216885211,SL57978831,False
SHOP_48,Carney's Auto Repair,"83968 Weaver Parkways Suite 204
Riverashire, WI 73959",558.494.7706,SL70628659,False
SHOP_49,Peterson's Auto Repair,"54616 Vargas Highway
Reesemouth, SD 59779",718.498.6361x39594,SL94524596,False
